 	0x09	# <doublebytes>
 	0x10	# <doublebytes>
 	0x11	# <doublebytes>
 	0x12	# <doublebytes>
 	0x13	# <doublebytes>
🎁	0x09da	U+1F381	# WRAPPED PRESENT
🎂	0x09db	U+1F382	# BIRTHDAY CAKE
🎃	0x09dc	U+1F383	# JACK-O-LANTERN
🎄	0x09dd	U+1F384	# CHRISTMAS TREE
🎅	0x09de	U+1F385	# FATHER CHRISTMAS
🎆	0x09df	U+1F386	# FIREWORKS
🎇	0x09e0	U+1F387	# FIREWORK SPARKLER
🎈	0x09e1	U+1F388	# BALLOON
🎉	0x09e2	U+1F389	# PARTY POPPER
🎊	0x09e3	U+1F38A	# CONFETTI BALL
🎋	0x09e4	U+1F38B	# TANABATA TREE
🎌	0x09e5	U+1F38C	# CROSSED FLAGS
🎍	0x09e6	U+1F38D	# PINE DECORATION
🎎	0x09e7	U+1F38E	# JAPANESE DOLLS
🎏	0x09e8	U+1F38F	# CARP STREAMER
🎐	0x09e9	U+1F390	# WIND CHIME
🎑	0x09ea	U+1F391	# MOON VIEWING CEREMONY
🎒	0x09eb	U+1F392	# SCHOOL SATCHEL
🎓	0x09ec	U+1F393	# GRADUATION CAP
🎖	0x09ed	U+1F396	# MILITARY MEDAL
🎗	0x09ee	U+1F397	# REMINDER RIBBON
🎙	0x09ef	U+1F399	# STUDIO MICROPHONE
🎚	0x09f0	U+1F39A	# LEVEL SLIDER
🎛	0x09f1	U+1F39B	# CONTROL KNOBS
🎞	0x09f2	U+1F39E	# FILM FRAMES
🎟	0x09f3	U+1F39F	# ADMISSION TICKETS
🎠	0x09f4	U+1F3A0	# CAROUSEL HORSE
🎡	0x09f5	U+1F3A1	# FERRIS WHEEL
🎢	0x09f6	U+1F3A2	# ROLLER COASTER
🎣	0x09f7	U+1F3A3	# FISHING POLE AND FISH
🎤	0x09f8	U+1F3A4	# MICROPHONE
🎥	0x09f9	U+1F3A5	# MOVIE CAMERA
🎦	0x09fa	U+1F3A6	# CINEMA
🎧	0x09fb	U+1F3A7	# HEADPHONE
🎨	0x09fc	U+1F3A8	# ARTIST PALETTE
🎩	0x09fd	U+1F3A9	# TOP HAT
🎪	0x09fe	U+1F3AA	# CIRCUS TENT
🎫	0x09ff	U+1F3AB	# TICKET
🎬	0x1001	U+1F3AC	# CLAPPER BOARD
🎭	0x1002	U+1F3AD	# PERFORMING ARTS
🎮	0x1003	U+1F3AE	# VIDEO GAME
🎯	0x1004	U+1F3AF	# DIRECT HIT
🎰	0x1005	U+1F3B0	# SLOT MACHINE
🎱	0x1006	U+1F3B1	# BILLIARDS
🎲	0x1007	U+1F3B2	# GAME DIE
🎳	0x1008	U+1F3B3	# BOWLING
🎵	0x1009	U+1F3B5	# MUSICAL NOTE
🎶	0x100a	U+1F3B6	# MULTIPLE MUSICAL NOTES
🎷	0x100b	U+1F3B7	# SAXOPHONE
🎸	0x100c	U+1F3B8	# GUITAR
🎹	0x100d	U+1F3B9	# MUSICAL KEYBOARD
🎺	0x100e	U+1F3BA	# TRUMPET
🎻	0x100f	U+1F3BB	# VIOLIN
🎼	0x1010	U+1F3BC	# MUSICAL SCORE
🎽	0x1011	U+1F3BD	# RUNNING SHIRT WITH SASH
🎾	0x1012	U+1F3BE	# TENNIS RACQUET AND BALL
🎿	0x1013	U+1F3BF	# SKI AND SKI BOOT
🏀	0x1014	U+1F3C0	# BASKETBALL AND HOOP
🏁	0x1015	U+1F3C1	# CHEQUERED FLAG
🏂	0x1016	U+1F3C2	# SNOWBOARDER
🏃	0x1017	U+1F3C3	# RUNNER
🏄	0x1018	U+1F3C4	# SURFER
🏅	0x1019	U+1F3C5	# SPORTS MEDAL
🏆	0x101a	U+1F3C6	# TROPHY
🏇	0x101b	U+1F3C7	# HORSE RACING
🏈	0x101c	U+1F3C8	# AMERICAN FOOTBALL
🏉	0x101d	U+1F3C9	# RUGBY FOOTBALL
🏊	0x101e	U+1F3CA	# SWIMMER
🏋	0x101f	U+1F3CB	# WEIGHT LIFTER
🏌	0x1020	U+1F3CC	# GOLFER
🏍	0x1021	U+1F3CD	# RACING MOTORCYCLE
🏎	0x1022	U+1F3CE	# RACING CAR
🏏	0x1023	U+1F3CF	# CRICKET BAT AND BALL
🏐	0x1024	U+1F3D0	# VOLLEYBALL
🏑	0x1025	U+1F3D1	# FIELD HOCKEY STICK AND BALL
🏒	0x1026	U+1F3D2	# ICE HOCKEY STICK AND PUCK
🏓	0x1027	U+1F3D3	# TABLE TENNIS PADDLE AND BALL
🏔	0x1028	U+1F3D4	# SNOW CAPPED MOUNTAIN
🏕	0x1029	U+1F3D5	# CAMPING
🏖	0x102a	U+1F3D6	# BEACH WITH UMBRELLA
🏗	0x102b	U+1F3D7	# BUILDING CONSTRUCTION
🏘	0x102c	U+1F3D8	# HOUSE BUILDINGS
🏙	0x102d	U+1F3D9	# CITYSCAPE
🏚	0x102e	U+1F3DA	# DERELICT HOUSE BUILDING
🏛	0x102f	U+1F3DB	# CLASSICAL BUILDING
🏜	0x1030	U+1F3DC	# DESERT
🏝	0x1031	U+1F3DD	# DESERT ISLAND
🏞	0x1032	U+1F3DE	# NATIONAL PARK
🏟	0x1033	U+1F3DF	# STADIUM
🏠	0x1034	U+1F3E0	# HOUSE BUILDING
🏡	0x1035	U+1F3E1	# HOUSE WITH GARDEN
🏢	0x1036	U+1F3E2	# OFFICE BUILDING
🏣	0x1037	U+1F3E3	# JAPANESE POST OFFICE
🏤	0x1038	U+1F3E4	# EUROPEAN POST OFFICE
🏥	0x1039	U+1F3E5	# HOSPITAL
🏦	0x103a	U+1F3E6	# BANK
🏧	0x103b	U+1F3E7	# AUTOMATED TELLER MACHINE
🏨	0x103c	U+1F3E8	# HOTEL
🏩	0x103d	U+1F3E9	# LOVE HOTEL
🏪	0x103e	U+1F3EA	# CONVENIENCE STORE
🏫	0x103f	U+1F3EB	# SCHOOL
🏬	0x1040	U+1F3EC	# DEPARTMENT STORE
🏭	0x1041	U+1F3ED	# FACTORY
🏮	0x1042	U+1F3EE	# IZAKAYA LANTERN
🏯	0x1043	U+1F3EF	# JAPANESE CASTLE
🏰	0x1044	U+1F3F0	# EUROPEAN CASTLE
🏳	0x1045	U+1F3F3	# WAVING WHITE FLAG
🏴	0x1046	U+1F3F4	# WAVING BLACK FLAG
🏵	0x1047	U+1F3F5	# ROSETTE
🏷	0x1048	U+1F3F7	# LABEL
🏸	0x1049	U+1F3F8	# BADMINTON RACQUET AND SHUTTLECOCK
🏹	0x104a	U+1F3F9	# BOW AND ARROW
🏺	0x104b	U+1F3FA	# AMPHORA
🐀	0x104c	U+1F400	# RAT
🐁	0x104d	U+1F401	# MOUSE
🐂	0x104e	U+1F402	# OX
🐃	0x104f	U+1F403	# WATER BUFFALO
🐄	0x1050	U+1F404	# COW
🐅	0x1051	U+1F405	# TIGER
🐆	0x1052	U+1F406	# LEOPARD
🐇	0x1053	U+1F407	# RABBIT
🐈	0x1054	U+1F408	# CAT
🐉	0x1055	U+1F409	# DRAGON
🐊	0x1056	U+1F40A	# CROCODILE
🐋	0x1057	U+1F40B	# WHALE
🐌	0x1058	U+1F40C	# SNAIL
🐍	0x1059	U+1F40D	# SNAKE
🐎	0x105a	U+1F40E	# HORSE
🐏	0x105b	U+1F40F	# RAM
🐐	0x105c	U+1F410	# GOAT
🐑	0x105d	U+1F411	# SHEEP
🐒	0x105e	U+1F412	# MONKEY
🐓	0x105f	U+1F413	# ROOSTER
🐔	0x1060	U+1F414	# CHICKEN
🐕	0x1061	U+1F415	# DOG
🐖	0x1062	U+1F416	# PIG
🐗	0x1063	U+1F417	# BOAR
🐘	0x1064	U+1F418	# ELEPHANT
🐙	0x1065	U+1F419	# OCTOPUS
🐚	0x1066	U+1F41A	# SPIRAL SHELL
🐛	0x1067	U+1F41B	# BUG
🐜	0x1068	U+1F41C	# ANT
🐝	0x1069	U+1F41D	# HONEYBEE
🐞	0x106a	U+1F41E	# LADY BEETLE
🐟	0x106b	U+1F41F	# FISH
🐠	0x106c	U+1F420	# TROPICAL FISH
🐡	0x106d	U+1F421	# BLOWFISH
🐢	0x106e	U+1F422	# TURTLE
🐣	0x106f	U+1F423	# HATCHING CHICK
🐤	0x1070	U+1F424	# BABY CHICK
🐥	0x1071	U+1F425	# FRONT-FACING BABY CHICK
🐦	0x1072	U+1F426	# BIRD
🐧	0x1073	U+1F427	# PENGUIN
🐨	0x1074	U+1F428	# KOALA
🐩	0x1075	U+1F429	# POODLE
🐪	0x1076	U+1F42A	# DROMEDARY CAMEL
🐫	0x1077	U+1F42B	# BACTRIAN CAMEL
🐬	0x1078	U+1F42C	# DOLPHIN
🐭	0x1079	U+1F42D	# MOUSE FACE
🐮	0x107a	U+1F42E	# COW FACE
🐯	0x107b	U+1F42F	# TIGER FACE
🐰	0x107c	U+1F430	# RABBIT FACE
🐱	0x107d	U+1F431	# CAT FACE
🐲	0x107e	U+1F432	# DRAGON FACE
🐳	0x107f	U+1F433	# SPOUTING WHALE
🐴	0x1080	U+1F434	# HORSE FACE
🐵	0x1081	U+1F435	# MONKEY FACE
🐶	0x1082	U+1F436	# DOG FACE
🐷	0x1083	U+1F437	# PIG FACE
🐸	0x1084	U+1F438	# FROG FACE
🐹	0x1085	U+1F439	# HAMSTER FACE
🐺	0x1086	U+1F43A	# WOLF FACE
🐻	0x1087	U+1F43B	# BEAR FACE
🐼	0x1088	U+1F43C	# PANDA FACE
🐽	0x1089	U+1F43D	# PIG NOSE
🐾	0x108a	U+1F43E	# PAW PRINTS
🐿	0x108b	U+1F43F	# CHIPMUNK
👀	0x108c	U+1F440	# EYES
👁	0x108d	U+1F441	# EYE
👂	0x108e	U+1F442	# EAR
👃	0x108f	U+1F443	# NOSE
👄	0x1090	U+1F444	# MOUTH
👅	0x1091	U+1F445	# TONGUE
👑	0x1092	U+1F451	# CROWN
👒	0x1093	U+1F452	# WOMANS HAT
👓	0x1094	U+1F453	# EYEGLASSES
👔	0x1095	U+1F454	# NECKTIE
👕	0x1096	U+1F455	# T-SHIRT
👖	0x1097	U+1F456	# JEANS
👗	0x1098	U+1F457	# DRESS
👘	0x1099	U+1F458	# KIMONO
👙	0x109a	U+1F459	# BIKINI
👚	0x109b	U+1F45A	# WOMANS CLOTHES
👛	0x109c	U+1F45B	# PURSE
👝	0x109d	U+1F45D	# POUCH
👞	0x109e	U+1F45E	# MANS SHOE
👟	0x109f	U+1F45F	# ATHLETIC SHOE
👠	0x10a0	U+1F460	# HIGH-HEELED SHOE
👡	0x10a1	U+1F461	# WOMANS SANDAL
👢	0x10a2	U+1F462	# WOMANS BOOTS
👣	0x10a3	U+1F463	# FOOTPRINTS
👤	0x10a4	U+1F464	# BUST IN SILHOUETTE
👥	0x10a5	U+1F465	# BUSTS IN SILHOUETTE
👦	0x10a6	U+1F466	# BOY
👧	0x10a7	U+1F467	# GIRL
👨	0x10a8	U+1F468	# MAN
👩	0x10a9	U+1F469	# WOMAN
👪	0x10aa	U+1F46A	# FAMILY
👮	0x10ab	U+1F46E	# POLICE OFFICER
👯	0x10ac	U+1F46F	# WOMAN WITH BUNNY EARS
👰	0x10ad	U+1F470	# BRIDE WITH VEIL
👱	0x10ae	U+1F471	# PERSON WITH BLOND HAIR
👲	0x10af	U+1F472	# MAN WITH GUA PI MAO
👳	0x10b0	U+1F473	# MAN WITH TURBAN
👴	0x10b1	U+1F474	# OLDER MAN
👵	0x10b2	U+1F475	# OLDER WOMAN
👶	0x10b3	U+1F476	# BABY
👷	0x10b4	U+1F477	# CONSTRUCTION WORKER
👸	0x10b5	U+1F478	# PRINCESS
👹	0x10b6	U+1F479	# JAPANESE OGRE
👺	0x10b7	U+1F47A	# JAPANESE GOBLIN
👻	0x10b8	U+1F47B	# GHOST
👼	0x10b9	U+1F47C	# BABY ANGEL
👽	0x10ba	U+1F47D	# EXTRATERRESTRIAL ALIEN
👾	0x10bb	U+1F47E	# ALIEN MONSTER
👿	0x10bc	U+1F47F	# IMP
💀	0x10bd	U+1F480	# SKULL
💂	0x10be	U+1F482	# GUARDSMAN
💃	0x10bf	U+1F483	# DANCER
💄	0x10c0	U+1F484	# LIPSTICK
💅	0x10c1	U+1F485	# NAIL POLISH
💇	0x10c2	U+1F487	# HAIRCUT
💈	0x10c3	U+1F488	# BARBER POLE
💉	0x10c4	U+1F489	# SYRINGE
💊	0x10c5	U+1F48A	# PILL
💌	0x10c6	U+1F48C	# LOVE LETTER
💍	0x10c7	U+1F48D	# RING
💎	0x10c8	U+1F48E	# GEM STONE
💏	0x10c9	U+1F48F	# KISS
💐	0x10ca	U+1F490	# BOUQUET
💑	0x10cb	U+1F491	# COUPLE WITH HEART
💒	0x10cc	U+1F492	# WEDDING
💓	0x10cd	U+1F493	# BEATING HEART
💔	0x10ce	U+1F494	# BROKEN HEART
💕	0x10cf	U+1F495	# TWO HEARTS
💖	0x10d0	U+1F496	# SPARKLING HEART
💗	0x10d1	U+1F497	# GROWING HEART
💘	0x10d2	U+1F498	# HEART WITH ARROW
💙	0x10d3	U+1F499	# BLUE HEART
💚	0x10d4	U+1F49A	# GREEN HEART
💛	0x10d5	U+1F49B	# YELLOW HEART
💜	0x10d6	U+1F49C	# PURPLE HEART
💝	0x10d7	U+1F49D	# HEART WITH RIBBON
💞	0x10d8	U+1F49E	# REVOLVING HEARTS
💟	0x10d9	U+1F49F	# HEART DECORATION
💠	0x10da	U+1F4A0	# DIAMOND SHAPE WITH A DOT INSIDE
💡	0x10db	U+1F4A1	# ELECTRIC LIGHT BULB
💣	0x10dc	U+1F4A3	# BOMB
💧	0x10dd	U+1F4A7	# DROPLET
💩	0x10de	U+1F4A9	# PILE OF POO
💪	0x10df	U+1F4AA	# FLEXED BICEPS
💬	0x10e0	U+1F4AC	# SPEECH BALLOON
💭	0x10e1	U+1F4AD	# THOUGHT BALLOON
💰	0x10e2	U+1F4B0	# MONEY BAG
💱	0x10e3	U+1F4B1	# CURRENCY EXCHANGE
💳	0x10e4	U+1F4B3	# CREDIT CARD
💸	0x10e5	U+1F4B8	# MONEY WITH WINGS
💺	0x10e6	U+1F4BA	# SEAT
💻	0x10e7	U+1F4BB	# PERSONAL COMPUTER
💼	0x10e8	U+1F4BC	# BRIEFCASE
💽	0x10e9	U+1F4BD	# MINIDISC
💾	0x10ea	U+1F4BE	# FLOPPY DISK
💿	0x10eb	U+1F4BF	# OPTICAL DISC
📀	0x10ec	U+1F4C0	# DVD
📁	0x10ed	U+1F4C1	# FILE FOLDER
📂	0x10ee	U+1F4C2	# OPEN FILE FOLDER
📅	0x10ef	U+1F4C5	# CALENDAR
📆	0x10f0	U+1F4C6	# TEAR-OFF CALENDAR
📇	0x10f1	U+1F4C7	# CARD INDEX
📋	0x10f2	U+1F4CB	# CLIPBOARD
📌	0x10f3	U+1F4CC	# PUSHPIN
📍	0x10f4	U+1F4CD	# ROUND PUSHPIN
📎	0x10f5	U+1F4CE	# PAPERCLIP
📏	0x10f6	U+1F4CF	# STRAIGHT RULER
📐	0x10f7	U+1F4D0	# TRIANGULAR RULER
📒	0x10f8	U+1F4D2	# LEDGER
📓	0x10f9	U+1F4D3	# NOTEBOOK
📔	0x10fa	U+1F4D4	# NOTEBOOK WITH DECORATIVE COVER
📕	0x10fb	U+1F4D5	# CLOSED BOOK
📖	0x10fc	U+1F4D6	# OPEN BOOK
📗	0x10fd	U+1F4D7	# GREEN BOOK
📘	0x10fe	U+1F4D8	# BLUE BOOK
📙	0x10ff	U+1F4D9	# ORANGE BOOK
📚	0x1101	U+1F4DA	# BOOKS
📛	0x1102	U+1F4DB	# NAME BADGE
📜	0x1103	U+1F4DC	# SCROLL
📝	0x1104	U+1F4DD	# MEMO
📞	0x1105	U+1F4DE	# TELEPHONE RECEIVER
📠	0x1106	U+1F4E0	# FAX MACHINE
📡	0x1107	U+1F4E1	# SATELLITE ANTENNA
📢	0x1108	U+1F4E2	# PUBLIC ADDRESS LOUDSPEAKER
📣	0x1109	U+1F4E3	# CHEERING MEGAPHONE
📤	0x110a	U+1F4E4	# OUTBOX TRAY
📥	0x110b	U+1F4E5	# INBOX TRAY
